ClutserID	Streptococcus_pneumoniae_CGSP14	Streptococcus_pneumoniae_G54	Streptococcus_pneumoniae_R6	Streptococcus_pneumoniae_Hungary19A-6	Streptococcus_pneumoniae_P1031	Streptococcus_pneumoniae_TCH8431-19A
11	ACB91203.1,ACB91175.1,ACB89894.1	ACF56467.1,ACF56378.1,ACF55166.1,ACF55692.1	AAL00604.1,AAL00576.1,AAK99406.1	ACA36845.1,ACA35951.1,ACA37105.1	ACO20814.1,ACO20478.1,ACO22058.1	ADI70484.1,ADI70454.1,ADI69205.1
12	ACB89934.1	ACF56296.1,ACF55856.1,ACF56871.1	AAK99983.1,AAK99449.1,AAK99521.1,AAL00146.1	ACA37601.1,ACA36539.1,ACA36723.1,ACA36844.1	ACO21631.1,ACO21948.1,ACO20264.1,ACO22171.1	ADI69245.1,ADI69912.1,ADI69288.1
13	ACB89615.1,ACB91117.1,ACB90766.1	ACF56247.1,ACF56432.1,ACF56714.1	AAK99131.1,AAL00510.1,AAL00186.1	ACA36406.1,ACA37084.1,ACA37610.1	ACO20638.1,ACO21354.1,ACO21980.1	ADI68892.1,ADI70348.1,ADI69990.1
14	ACB90638.1,ACB91305.1,ACB90637.1	ACF55786.1,ACF56636.1,ACF56486.1	AAL00058.1,AAL00700.1,AAL00057.1	ACA36321.1,ACA36640.1,ACA36717.1	ACO20321.1,ACO21169.1,ACO20928.1	ADI69378.1,ADI68312.1,ADI69379.1
15	ACB91329.1,ACB89351.1	-	-	ACA36941.1,ACA36792.1,ACA37483.1,ACA36467.1	ACO21087.1,ACO20468.1,ACO21339.1,ACO21870.1,ACO20439.1,ACO20579.1,ACO21815.1,ACO20916.1	ADI70273.1,ADI70495.1,ADI69932.1,ADI70231.1
16	ACB90466.1,ACB89756.1,ACB91154.1	ACF56610.1,ACF56515.1,ACF56213.1	AAK99605.1,AAL00547.1	ACA35800.1	ACO22071.1,ACO20929.1,ACO20490.1	ADI69648.1,ADI69061.1,ADI69531.1,ADI70399.1,ADI70390.1
17	ACB90731.1,ACB91233.1	ACF56402.1	AAL00153.1,AAL00630.1,AAK99841.1,AAK98820.1,AAK99077.1,AAK99528.1,AAK99116.1	-	ACO21925.1	ADI69576.1,ADI69957.1,ADI68238.1,ADI68873.1,ADI69901.1,ADI68668.1
18	ACB91431.1,ACB90683.1,ACB90010.1	ACF55837.1,ACF55382.1,ACF55090.1	AAL00102.1,AAL00820.1,AAK99523.1	ACA37271.1	ACO20716.1,ACO21851.1,ACO21736.1	ADI68455.1,ADI69909.1
19	ACB90144.1,ACB90751.1,ACB90290.1,ACB90481.1	ACF55260.1,ACF56477.1	AAK99619.1,AAL00171.1	ACA37051.1	ACO21422.1,ACO20641.1	ADI69801.1,ADI69976.1
20	ACB90778.1,ACB91135.1	ACF55300.1,ACF54817.1	AAL00199.1,AAL00527.1	ACA36256.1,ACA35700.1,ACA36529.1	ACO21903.1,ACO21878.1	ADI70002.1,ADI70371.1
21	ACB90229.1,ACB90374.1	ACF55775.1,ACF55875.1	AAK99711.1,AAK99864.1,AAK99865.1	ACA37154.1	ACO20857.1,ACO21394.1,ACO20355.1	ADI69709.1,ADI69550.1
22	ACB89933.1	ACF56172.1,ACF56851.1	AAL00142.1,AAK99522.1,AAK99448.1	ACA37600.1	ACO21374.1,ACO20679.1	ADI69427.1,ADI69289.1,ADI69244.1
23	ACB89282.1,ACB90720.1	ACF56761.1,ACF55935.1	AAK98835.1,AAL00138.1	ACA36984.1,ACA37069.1	ACO22178.1,ACO20706.1	ADI69292.1,ADI68546.1
24	ACB90932.1,ACB90931.1	ACF55962.1,ACF55671.1	AAL00356.1,AAL00355.1	ACA37075.1,ACA36720.1	ACO21029.1,ACO21380.1	ADI70178.1,ADI70177.1
25	ACB90924.1,ACB90925.1	ACF54826.1,ACF55290.1	AAL00346.1,AAL00347.1	ACA36556.1,ACA36636.1	ACO20385.1,ACO20821.1	ADI70170.1,ADI70171.1
26	ACB89866.1,ACB90225.1	ACF55852.1,ACF56263.1	AAK99379.1,AAK99707.1	ACA35759.1,ACA36876.1	ACO20867.1,ACO20203.1	ADI69178.1,ADI69713.1
27	ACB89734.1,ACB89735.1	ACF56019.1,ACF56519.1	AAK99252.1,AAK99249.1	ACA37501.1,ACA36546.1	ACO22107.1,ACO21172.1	ADI69031.1,ADI69028.1
28	ACB90600.1,ACB89868.1	ACF56521.1,ACF55613.1	AAL00021.1,AAK99381.1	ACA35912.1,ACA37006.1	ACO21866.1,ACO20157.1	ADI69419.1,ADI69180.1
29	ACB91430.1,ACB90680.1	ACF54904.1,ACF55605.1,ACF55629.1	AAK99128.1,AAL00818.1,AAL00099.1	-	ACO22013.1,ACO20463.1,ACO20484.1	ADI68453.1
30	ACB90436.1,ACB89281.1	ACF56339.1,ACF56211.1	AAK99806.1,AAK98832.1	ACA36756.1,ACA37252.1	ACO21424.1,ACO21969.1	ADI69616.1,ADI68543.1
31	ACB90910.1,ACB90101.1	ACF56846.1,ACF56074.1	AAL00333.1,AAK99999.1	ACA36760.1,ACA37512.1,ACA35568.1	ACO20617.1,ACO20616.1	ADI70156.1
32	ACB90354.1,ACB89853.1	ACF54991.1,ACF56672.1	AAK99883.1,AAK99367.1	ACA37256.1,ACA37433.1	ACO21882.1,ACO21166.1	ADI69530.1,ADI69163.1
33	ACB89265.1,ACB91224.1	ACF55194.1,ACF54775.1	AAL00622.1,AAK98817.1	ACA36314.1,ACA36028.1	ACO20162.1,ACO20961.1	ADI68230.1,ADI68530.1
34	ACB90102.1,ACB90900.1	ACF56530.1,ACF55863.1	AAL00324.1,AAK99989.1	ACA37136.1,ACA36522.1	ACO21616.1,ACO21450.1	ADI70146.1
35	ACB90723.1	ACF56817.1,ACF56023.1,ACF56372.1	AAL00141.1,AAL00819.1,AAL00002.1	ACA37599.1	ACO22121.1	ADI69910.1,ADI68454.1
36	ACB90668.1,ACB90666.1	ACF55642.1,ACF56625.1	AAL00088.1,AAL00086.1	ACA37472.1,ACA36205.1	ACO20955.1	ADI69345.1,ADI69347.1
37	ACB91034.1	ACF55751.1,ACF56630.1	AAL00429.1,AAL00189.1	ACA37352.1,ACA36789.1	ACO21695.1,ACO22074.1	ADI70260.1,ADI69993.1
38	ACB89753.1,ACB89296.1	ACF56739.1,ACF55423.1	AAK99272.1,AAK98847.1	ACA35940.1,ACA35944.1	ACO21512.1,ACO21962.1	ADI68559.1
39	ACB90362.1	ACF56476.1,ACF55038.1	AAK99874.1,AAK99227.1	ACA35851.1,ACA36010.1	ACO20818.1,ACO21189.1	ADI69540.1,ADI69002.1
40	ACB90353.1,ACB89852.1	ACF55285.1,ACF55459.1	AAK99366.1,AAK99884.1	ACA35978.1	ACO21430.1,ACO21749.1	ADI69162.1,ADI69529.1
41	ACB90099.1,ACB90588.1	ACF56210.1,ACF54846.1	AAL00010.1	ACA35925.1,ACA36797.1,ACA36424.1	ACO20702.1,ACO21348.1	-
42	ACB91279.1,ACB90056.1	ACF55372.1,ACF55193.1	AAK99566.1	ACA36670.1	ACO20494.1,ACO21135.1	ADI68284.1,ADI69859.1
43	ACB90840.1	ACF56528.1,ACF55400.1	AAL00264.1,AAL00450.1	ACA36217.1	ACO21404.1,ACO21389.1	ADI70071.1,ADI70281.1
44	ACB91307.1	ACF55778.1,ACF55911.1,ACF55792.1	AAL00702.1	ACA36055.1	ACO21326.1	ADI68314.1,ADI69667.1
45	ACB89625.1	ACF55634.1	AAK99141.1,AAK99155.1	ACA36798.1,ACA35802.1	ACO20704.1	ADI68903.1,ADI68902.1
46	ACB90045.1,ACB89644.1	ACF55209.1	AAL00251.1,AAK99301.1,AAK99557.1,AAL00144.1	-	ACO22195.1,ACO21587.1	-
47	ACB90106.1,ACB90911.1	ACF54967.1,ACF55421.1	AAL00334.1	ACA36960.1,ACA35840.1	ACO21449.1	ADI70157.1
48	ACB91247.1	ACF56588.1	AAL00644.1	ACA35934.1,ACA37114.1	ACO21811.1,ACO21327.1	ADI68253.1,ADI70081.1
49	ACB90916.1,ACB90104.1	ACF55908.1,ACF56053.1	AAL00339.1	ACA37120.1,ACA37326.1	ACO21996.1	ADI70162.1
50	ACB89856.1,ACB90097.1	ACF55347.1	AAK99370.1,AAK99987.1	ACA35894.1	ACO21991.1,ACO20505.1	ADI69168.1
51	ACB91078.1	ACF55817.1	AAL00470.1,AAL00451.1	ACA37395.1	ACO20459.1	ADI70303.1,ADI70282.1
52	ACB91060.1	ACF56419.1	AAL00448.1	ACA37285.1,ACA35805.1	ACO20728.1	ADI70279.1,ADI70393.1
53	ACB89754.1,ACB89295.1	ACF56710.1	AAK98844.1	ACA37269.1,ACA35637.1	ACO21452.1	ADI68557.1
54	ACB89564.1,ACB89796.1	ACF56062.1	AAK99080.1,AAK99310.1	ACA36794.1	ACO22019.1	ADI69099.1
55	ACB90394.1	ACF54795.1,ACF55370.1	AAK99385.1	ACA36139.1	ACO20469.1,ACO20994.1	ADI69184.1
56	ACB91058.1	ACF55660.1	AAL00446.1	ACA36888.1,ACA36322.1	ACO21643.1	ADI70277.1,ADI70395.1
57	ACB91057.1	ACF55495.1	AAL00444.1	ACA36664.1,ACA35976.1	ACO22168.1	ADI70276.1,ADI70396.1
58	ACB91205.1	ACF55016.1,ACF56412.1	AAK99404.1	ACA37170.1,ACA36300.1	ACO20708.1	ADI69203.1
59	ACB91059.1	ACF55039.1	AAL00447.1	ACA36566.1,ACA36404.1	ACO21264.1	ADI70278.1,ADI70394.1
60	ACB90105.1,ACB90912.1	ACF56230.1,ACF54964.1	AAL00335.1	ACA36743.1	ACO21913.1	ADI70158.1
61	ACB89278.1	ACF56042.1,ACF56661.1	-	ACA36983.1,ACA36512.1,ACA36061.1	ACO20577.1,ACO20683.1	-
62	ACB91164.1	ACF55670.1	AAL00557.1	ACA35679.1,ACA36385.1	ACO21645.1,ACO20216.1	ADI70409.1
63	ACB90857.1	ACF55418.1	AAL00274.1,AAL00275.1	ACA37040.1	ACO21621.1	ADI70097.1,ADI70098.1
64	ACB89697.1	ACF56842.1	-	ACA37464.1,ACA35619.1,ACA37272.1	ACO20626.1	ADI68971.1,ADI68287.1
65	ACB89356.1	ACF56315.1	AAK98914.1,AAK98901.1	ACA37459.1	ACO20567.1	ADI68625.1,ADI68631.1
66	-	-	-	ACA36206.1,ACA35522.1	ACO21444.1,ACO20539.1,ACO21221.1,ACO20576.1,ACO20391.1,ACO21576.1	-
67	ACB91172.1	ACF56008.1,ACF55942.1	AAL00566.1	ACA36186.1	ACO20711.1	ADI70417.1
68	ACB89847.1,ACB90475.1	ACF55052.1	AAK99362.1	ACA35582.1	ACO21622.1	ADI69156.1
69	ACB90589.1,ACB90098.1	ACF56790.1	-	ACA36893.1,ACA37288.1	ACO20785.1,ACO21233.1	-
70	ACB90567.1	ACF55657.1	AAL00003.1	ACA36856.1,ACA37584.1	ACO21559.1,ACO21217.1	-
71	ACB89505.1,ACB89504.1	ACF56611.1	AAK99026.1	ACA36631.1	-	ADI68784.1,ADI68783.1
72	ACB89402.1,ACB90848.1	ACF56555.1	AAK98948.1	ACA35665.1	ACO21497.1	ADI68683.1
73	ACB90331.1	ACF55143.1	AAK99906.1	ACA36034.1	ACO20380.1,ACO21728.1	ADI69507.1
74	ACB89370.1	ACF56392.1,ACF56030.1	AAK98922.1	ACA36395.1	ACO21464.1	ADI68646.1
75	ACB89748.1	ACF55843.1	AAK99265.1	ACA35975.1,ACA36062.1	ACO21490.1	ADI69046.1
76	ACB89846.1,ACB90476.1	ACF55461.1	AAK99361.1	ACA37364.1	ACO21863.1	ADI69155.1
77	ACB90474.1,ACB89848.1	ACF55307.1	AAK99363.1	ACA36547.1	ACO20949.1	ADI69157.1
78	ACB90132.1	ACF56059.1	AAK99607.1	ACA36611.1,ACA35973.1	ACO20483.1	ADI69813.1
79	ACB89371.1	ACF56055.1,ACF55675.1	AAK98923.1	ACA35856.1	ACO21136.1	ADI68647.1
80	ACB90590.1	ACF55469.1,ACF55858.1	AAL00012.1	ACA36325.1	ACO20335.1,ACO20907.1	-
81	ACB89764.1	ACF55940.1	AAK99278.1	ACA35813.1	ACO20489.1	ADI69069.1,ADI69058.1
82	ACB89702.1	ACF55995.1,ACF56633.1	AAK99215.1	ACA35575.1	ACO22088.1	ADI68976.1
83	ACB90131.1	ACF56142.1	AAK99606.1	ACA37213.1,ACA35971.1	ACO21207.1	ADI69814.1
84	-	-	-	ACA36298.1,ACA36641.1	ACO20611.1,ACO20798.1	ADI68607.1,ADI68604.1,ADI69018.1
85	ACB90077.1	ACF55741.1	AAK99583.1	ACA36560.1	ACO21102.1	ADI69845.1
86	ACB90654.1	ACF55431.1	AAL00075.1	ACA36859.1	ACO22009.1	ADI69361.1
87	ACB91141.1	ACF55898.1	AAL00533.1	ACA36758.1	ACO21066.1	ADI70378.1
88	ACB91313.1	ACF55104.1	AAL00708.1	ACA35504.1	ACO21561.1	ADI68320.1
89	ACB89707.1	ACF55546.1	AAK99218.1	ACA36020.1	ACO20313.1	ADI68981.1
90	ACB89670.1	ACF56237.1	AAK99184.1	ACA37404.1	ACO21496.1	ADI68939.1
91	ACB91377.1	ACF56538.1	AAL00765.1	ACA36861.1	ACO20160.1	ADI68388.1
92	ACB89998.1	ACF56451.1	AAK99510.1	ACA35596.1	ACO22128.1	ADI69923.1
93	ACB89315.1	ACF56869.1	AAK98865.1	ACA37297.1	ACO21872.1	ADI68578.1
94	ACB90871.1	ACF55234.1	AAL00294.1	ACA37540.1	ACO20179.1	ADI70117.1
95	ACB90087.1	ACF54958.1	AAK99594.1	ACA35848.1	ACO22026.1	ADI69833.1
96	ACB89476.1	ACF56863.1	AAK98999.1	ACA37486.1	ACO21763.1	ADI68755.1
97	ACB90913.1	ACF56645.1	AAL00336.1	ACA37635.1	ACO20512.1	ADI70159.1
98	ACB90744.1	ACF55583.1	AAL00164.1	ACA36397.1	ACO21068.1	ADI69969.1
99	ACB91151.1	ACF55378.1	AAL00543.1	ACA37032.1	ACO21936.1	ADI70387.1
100	ACB91418.1	ACF56064.1	AAL00806.1	ACA36502.1	ACO22136.1	ADI68440.1
101	ACB90761.1	ACF55015.1	AAL00180.1	ACA36701.1	ACO21505.1	ADI69986.1
102	ACB91429.1	ACF55358.1	AAL00817.1	ACA37146.1	ACO21153.1	ADI68452.1
103	ACB90640.1	ACF54900.1	AAL00060.1	ACA36700.1	ACO20689.1	ADI69376.1
104	ACB89586.1	ACF55754.1	AAK99102.1	ACA36969.1	ACO21844.1	ADI68859.1
105	ACB90945.1	ACF55608.1	AAL00369.1	ACA36956.1	ACO20953.1	ADI70192.1
106	ACB91101.1	ACF56195.1	AAL00494.1	ACA37534.1	ACO21653.1	ADI70329.1
107	ACB89671.1	ACF56221.1	AAK99185.1	ACA37281.1	ACO20886.1	ADI68940.1
108	ACB91267.1	ACF55334.1	AAL00662.1	ACA37376.1	ACO20843.1	ADI68272.1
109	ACB91244.1	ACF56250.1	AAL00641.1	ACA37528.1	ACO21733.1	ADI68250.1
110	ACB91388.1	ACF54776.1	AAL00776.1	ACA37062.1	ACO20725.1	ADI68399.1
111	ACB90824.1	ACF56225.1	AAL00248.1	ACA37061.1	ACO22087.1	ADI70053.1
112	ACB90190.1	ACF55889.1	AAK99668.1	ACA37308.1	ACO21686.1	ADI69754.1
113	ACB91389.1	ACF56353.1	AAL00777.1	ACA35995.1	ACO21317.1	ADI68401.1
114	ACB89442.1	ACF54903.1	AAK98966.1	ACA35945.1	ACO20428.1	ADI68704.1
115	ACB89553.1	ACF55505.1	AAK99069.1	ACA37402.1	ACO21522.1	ADI68832.1
116	ACB89342.1	ACF56832.1	AAK98888.1	ACA35942.1	ACO22141.1	ADI68606.1
117	ACB89473.1	ACF55046.1	AAK98995.1	ACA36904.1	ACO20572.1	ADI68752.1
118	ACB89944.1	ACF56460.1	AAK99456.1	ACA35617.1	ACO21284.1	ADI69254.1
119	ACB90844.1	ACF56725.1	AAL00267.1	ACA36962.1	ACO20359.1	ADI70075.1
120	ACB91225.1	ACF56190.1	AAL00623.1	ACA37294.1	ACO20217.1	ADI68231.1
121	ACB89574.1	ACF54992.1	AAK99090.1	ACA36441.1	ACO21275.1	ADI68845.1
122	ACB89436.1	ACF55839.1	AAK98960.1	ACA35846.1	ACO21346.1	ADI68697.1
123	ACB91033.1	ACF54873.1	AAL00428.1	ACA37594.1	ACO22063.1	ADI70259.1
124	ACB89590.1	ACF55606.1	AAK99107.1	ACA36471.1	ACO21032.1	ADI68865.1
125	ACB90257.1	ACF55499.1	AAK99735.1	ACA35750.1	ACO21685.1	ADI69679.1
126	ACB90700.1	ACF56567.1	AAL00119.1	ACA37108.1	ACO22130.1	ADI69311.1
127	ACB91068.1	ACF55451.1	AAL00461.1	ACA36416.1	ACO21418.1	ADI70291.1
128	ACB89485.1	ACF54978.1	AAK99008.1	ACA35577.1	ACO20837.1	ADI68764.1
129	ACB91200.1	ACF56087.1	AAL00601.1	ACA36242.1	ACO21663.1	ADI70480.1
130	ACB90345.1	ACF56089.1	AAK99892.1	ACA36104.1	ACO20528.1	ADI69520.1
131	ACB89665.1	ACF55486.1	AAK99179.1	ACA36009.1	ACO21977.1	ADI68934.1
132	ACB90448.1	ACF55005.1	AAK99794.1	ACA35725.1	ACO21138.1	ADI69628.1
133	ACB89508.1	ACF56299.1	AAK99030.1	ACA35500.1	ACO20760.1	ADI68789.1
134	ACB91416.1	ACF54870.1	AAL00804.1	ACA37310.1	ACO20663.1	ADI68438.1
135	ACB90064.1	ACF55256.1	AAK99575.1	ACA37129.1	ACO21302.1	ADI69853.1
136	ACB90860.1	ACF56552.1	AAL00278.1	ACA36337.1	ACO21475.1	ADI70101.1
137	ACB90616.1	ACF56600.1	AAL00036.1	ACA37188.1	ACO22043.1	ADI69402.1
138	ACB90372.1	ACF56711.1	AAK99867.1	ACA35974.1	ACO21724.1	ADI69548.1
139	ACB89444.1	ACF55781.1	AAK98968.1	ACA36123.1	ACO21650.1	ADI68706.1
140	ACB90530.1,ACB90285.1	ACF55599.1	AAK99759.1	-	ACO21592.1,ACO21557.1	-
141	ACB91284.1	ACF56438.1	AAL00679.1	ACA36352.1	ACO21893.1	ADI68290.1
142	ACB89576.1	ACF55000.1	AAK99092.1	ACA36536.1	ACO21006.1	ADI68849.1
143	ACB90491.1	ACF56322.1	AAK99956.1	ACA35773.1	ACO21160.1	ADI69454.1
144	ACB91116.1	ACF55100.1	AAL00509.1	ACA35770.1	ACO21527.1	ADI70347.1
145	ACB90457.1	ACF55485.1	AAK99785.1	ACA36783.1	ACO20334.1	ADI69639.1
146	ACB89694.1	ACF56758.1	AAK99208.1	ACA37066.1	ACO21901.1	ADI68968.1
147	ACB90194.1	ACF56628.1	AAK99672.1	ACA35544.1	ACO20345.1	ADI69750.1
148	ACB90323.1	ACF56444.1	AAK99914.1	ACA36112.1	ACO21718.1	ADI69497.1
149	ACB91302.1	ACF56193.1	AAL00697.1	ACA35863.1	ACO20163.1	ADI68309.1
150	ACB91134.1	ACF55309.1	AAL00526.1	ACA36527.1	ACO20372.1	ADI70370.1
151	ACB90125.1	ACF55872.1	AAK99601.1	ACA35705.1	ACO21080.1	ADI69821.1
152	ACB89752.1	ACF56304.1	AAK99270.1	ACA35657.1	ACO20342.1	ADI69052.1
153	ACB89728.1	ACF56726.1	AAK99244.1	ACA35891.1	ACO20310.1	ADI69021.1
154	ACB90208.1	ACF55717.1	AAK99688.1	ACA37287.1	ACO21134.1	ADI69736.1
155	ACB89633.1	ACF55019.1	AAK99147.1	ACA37338.1	ACO21100.1	ADI68912.1
156	ACB90602.1	ACF55841.1	AAL00023.1	ACA36394.1	ACO21648.1	ADI69416.1
157	ACB89478.1	ACF54927.1	AAK99001.1	ACA36519.1	ACO21016.1	ADI68757.1
158	ACB91287.1	ACF56313.1	AAL00682.1	ACA37124.1	ACO21333.1	ADI68294.1
159	ACB90758.1	ACF56385.1	AAL00177.1	ACA37210.1	ACO20934.1	ADI69983.1
160	ACB90065.1	ACF56772.1	AAK99576.1	ACA35529.1	ACO20548.1	ADI69852.1
161	ACB90975.1	ACF55037.1	AAL00397.1	ACA36537.1	ACO21683.1	ADI70220.1
162	ACB89256.1	ACF56406.1	AAK98808.1	ACA37643.1	ACO21755.1	ADI68520.1
163	ACB90455.1	ACF56371.1	AAK99787.1	ACA35962.1	ACO21353.1	ADI69637.1
164	ACB91056.1	ACF55581.1	AAL00442.1	ACA36142.1	ACO20420.1	ADI70274.1
165	ACB90815.1	ACF56699.1	AAL00239.1	ACA36445.1	ACO21624.1	ADI70041.1
166	ACB90956.1	ACF54825.1	AAL00379.1	ACA35553.1	ACO21387.1	ADI70203.1
167	ACB89730.1	ACF56742.1	AAK99246.1	ACA36597.1	ACO22035.1	ADI69023.1
168	ACB89441.1	ACF55535.1	AAK98965.1	ACA36558.1	ACO20967.1	ADI68703.1
169	ACB89468.1	ACF56464.1	AAK98990.1	ACA35883.1	ACO21738.1	ADI68747.1
170	ACB89314.1	ACF56189.1	AAK98864.1	ACA35736.1	ACO21516.1	ADI68577.1
171	ACB90274.1	ACF56755.1	AAK99748.1	ACA36834.1	ACO21347.1	ADI69660.1
172	ACB89966.1	ACF56709.1	AAK99477.1	ACA35865.1	ACO20323.1	ADI69275.1
173	ACB89522.1	ACF55033.1	AAK99043.1	ACA35938.1	ACO20254.1	ADI68804.1
